id,name,address,latitude,longitude
140,AGRA RESTAURANT,807 LEXINGTON AVENUE Manhattan 10065,40.764227,-73.966719
141,ARTURO'S,1617 YORK AVENUE Manhattan 10028,40.775351,-73.947546
142,PARIS BLUES,2021 7 AVENUE Manhattan 10027,40.806373,-73.950124
143,GENE'S RESTURANT,73 WEST   11 STREET Manhattan 10011,40.735024,-73.997416
144,MARIA RISTORANTE,3073 EMMONS AVENUE Brooklyn 11235,40.584035,-73.936677
146,KOSHER ISLAND,2206 VICTORY BOULEVARD Staten Island 10314,40.612127,-74.136848
147,DOWNTOWN DELI,107 CHURCH STREET Manhattan 10007,40.713265,-74.009262
148,CAFE METRO,625 8 AVENUE Manhattan 10018,40.755638,-73.993999
149,BULLY'S DELI,759 BROADWAY Manhattan 10003,40.730679,-73.992347
151,HO MEI RESTAURANT,103-05 37 AVENUE Queens 11368,40.753266,-73.864401
152,HAPPY GARDEN,1236 238 SPOFFORD AVE The Bronx 10474,40.814033,-73.88924
153,TONY'S DELI,1069 WYCKOFF AVENUE Queens 11385,40.69473,-73.902573
154,HARRIET'S KITCHEN,502 AMSTERDAM AVENUE Manhattan 10024,40.786578,-73.97582
155,WHITE CASTLE,531 MYRTLE AVENUE Brooklyn 11205,40.693747,-73.963374
156,MORRIS PARK BAKE SHOP,1007 MORRIS PARK AVE The Bronx 10462,40.84826,-73.855911
157,WENDY'S,469 FLATBUSH AVENUE Brooklyn 11225,40.662786,-73.962179
267,GRASSROOT TAVERN,20 ST MARKS PLACE Manhattan 10003,40.729076,-73.988793
13061,CHARACTERS NYC BAR & GRILL,243 WEST   54 STREET Manhattan 10019,40.765455,-73.988867
159,MOMS LUNCHEONETTE,10102 103 AVENUE Queens 11417,40.683532,-73.840605
160,HAAGEN-DAZS,1 PENN PLAZA Manhattan 10119,40.75015,-73.99123
162,HOT BAGELS,7905 METROPOLITAN AVENUE Queens 11379,40.713204,-73.874172
163,CARVEL ICE CREAM,1111 HYLAN BOULEVARD Staten Island 10305,40.598601,-74.079616
164,DOMINO'S PIZZA,464 3 AVENUE Manhattan 10016,40.744378,-73.979097
165,SONNY'S HEROS,1031 EAST   92 STREET Brooklyn 11236,40.640299,-73.902635
166,WINTER CATERERS,584 RICHMOND ROAD Staten Island 10304,40.612389,-74.087863
167,BAGELS N BUNS,2491 VICTORY BOULEVARD Staten Island 10314,40.610271,-74.146371
168,OLIVE'S,120 PRINCE STREET Manhattan 10012,40.725245,-73.999842
169,MARCO POLO RISTORANTE,345 COURT STREET Brooklyn 11231,40.682388,-73.995891
201,REYNOLD'S BAR,4241 BROADWAY Manhattan 10033,40.849612,-73.936298
171,BERKELY,437 MADISON AVENUE Manhattan 10022,40.757537,-73.975805
172,GOLDEN PAVILLION,976 RUTLAND ROAD Brooklyn 11212,40.662155,-73.927187
174,PJ BERNSTEIN DELI & RESTAURANT,1215 THIRD AVENUE Manhattan 10021,40.768784,-73.961291
175,PJ CARNEY'S,906 7 AVENUE Manhattan 10019,40.765866,-73.979801
177,DOMINO'S PIZZA,148 WEST   72 STREET Manhattan 10023,40.778166,-73.980569
178,METROPOLITAN CLUB,1 EAST   60 STREET Manhattan 10022,40.758794,-73.967213
179,PALM RESTAURANT,837 2 AVENUE Manhattan 10017,40.752313,-73.972589
180,21 CLUB,21 WEST   52 STREET Manhattan 10019,40.760043,-73.976878
181,HAPPY GARDEN,277 EAST KINGSBRIDGE ROAD The Bronx 10458,40.864112,-73.894316
182,JP'S WATERSIDE RESTAURANT,703 MINNIEFORD AVE The Bronx 10464,40.857265,-73.790422
183,KOSHER BAGEL HOLE,1423 AVENUE J Brooklyn 11230,40.625167,-73.961529
184,SEVILLE RESTAURANT,62 CHARLES STREET Manhattan 10014,40.734893,-74.003146
186,ISLE OF CAPRI RESTURANT,1028 3 AVENUE Manhattan 10065,40.762793,-73.965661
187,POLISH NATIONAL HOME,261 DRIGGS AVENUE Brooklyn 11222,40.722659,-73.94814
188,NAPOLI PIZZA,16402 69 AVENUE Queens 11365,40.733095,-73.804897
189,CAFE ATELIER (ART STUDENTS LEAGUE),215 WEST 57 STREET Manhattan 10019,40.765455,-73.988867
190,JUNIOR'S,386 FLATBUSH AVENUE EXTENSION Brooklyn 11201,40.689971,-73.981573
191,GREAT KILLS YACHT CLUB,37 MANSION AVE Staten Island 10308,40.546468,-74.137858
193,PHILADELHIA GRILLE EXPRESS,10004 4 AVENUE Brooklyn 11209,40.612813,-74.03366
195,RIZZO'S FINE PIZZA,30-13 STEINWAY STREET Queens 11103,40.76341,-73.915391
197,LA GRENOUILLE,3 EAST   52 STREET Manhattan 10022,40.759756,-73.976195
198,WESTERN BAKERY,228-13     MERRICK BOULEVARD Queens 11413,40.676594,-73.741753
199,JOHNS CAFE & RESTURANT,823 SECOND AVENUE Manhattan 10017,40.751038,-73.971313
200,7B BAR,108 AVENUE B Manhattan 10009,40.724955,-73.981278
203,1 EAST 66TH STREET KITCHEN,1 EAST   66 STREET Manhattan 10065,40.764569,-73.96294
204,TOWNE CAFE,2602 EAST   15 STREET Brooklyn 11235,40.587964,-73.954336
205,OLD HOMESTEAD,56 9 AVENUE Manhattan 10011,40.741351,-74.005007
206,DOUGLASTON CLUB,600 WEST DRIVE Queens 11363,40.776562,-73.7529
207,MARY ANN'S,116 8 AVENUE Manhattan 10011,40.741625,-74.000479
208,YANKEE TAVERN,72 EAST  161 STREET The Bronx 10451,40.827393,-73.925132
209,DONUT PUB,203 WEST   14 STREET Manhattan 10011,40.741625,-74.000479
210,MORAN'S CHELSEA,146 10 AVENUE Manhattan 10011,40.745237,-74.005964
211,REBEN LUNCHEONETTE,229 HAVEMEYER STREET Brooklyn 11211,40.709337,-73.958973
373,WEST BANK CAFE,407 WEST 42 STREET Manhattan 10036,40.759522,-73.990194
